title,link,schedule,location_name,address,tag,description
Piano 4te in Concert,https://www.pghcitypaper.com/pittsburgh/piano-4te-in-concert/Event?oid=27487297,"Sat., March 29, 7:30-9 p.m.",August Wilson African American Cultural Center,"980 Liberty Ave, Pittsburgh
Downtown",Classical,"Join Piano 4te—Jimmy Liu, Jack Kurutz, Uliana Kozhevnikova, and Becky Billock—for a captivating concert at the August Wilson Center. The program features virtuosic classical works by Liszt and Paganini, reimagined pop masterpieces such as Eleanor Rigby, and rhythmic, dynamic selections by modern composers Graham Fitkin and Douwe Eisenga. The evening also highlights the premiere of original four piano compositions by Brayden Peppo, Chad Twedt, and Eric Barndollar, showcasing rich textures and intricate interplay. A musical journey celebrating creativity, collaboration, and the art of the piano quartet. 4122517219"
Continue the Craic at the Cork with Luke Gallagher,https://www.pghcitypaper.com/pittsburgh/continue-the-craic-at-the-cork-with-luke-gallagher/Event?oid=27598231,"Sat., March 29, 8-11 p.m.",Cork Harbour Pub,"181 43rd St., Pittsburgh
Lawrenceville",Acoustic,"Join singer-songwriter Luke Gallagher in this authentic Irish pub and finish out the Irish season with his mix of trad Irish favorites, the best of 90s and 2000s alternative rock and pop, along with some classic oldies and current hits from artists such as Taylor Swift, Chappell Roan, and Post Malone. He counts Glen Hansard, Ed Sheeran and Ray LaMontagne among his musical influences. 412-223-5725"
Dancing Queen Band,https://www.pghcitypaper.com/pittsburgh/dancing-queen-band/Event?oid=27538697,"Sat., March 29, 8 p.m.",Baja Bar and Grill,"1366 Old Freeport Road, Fox Chapel
Fox Chapel",Cover Band,WooHoo....PITTSBURGH'S HOTTEST LIVE DISCO PARTY will be at the Baja for a fun night of music and dancing! See you on the dance floor. 412-963-0640
The 3rd Annual Business Meeting,https://www.pghcitypaper.com/pittsburgh/the-3rd-annual-business-meeting/Event?oid=27533790,"Sat., March 29, 8 p.m.",The Funhouse @ Mr. Smalls,"400 Lincoln Ave, Millvale
Millvale",Rock,"Mr. Smalls Presents The 3rd Annual Business Meeting ft. Mason. & Mr. Business w/ Tucker Muetzel, Mirabelle Skipworth, Julia Norah, Charlie Hill Doors: 7:00 pm / Show: 8:00 pm 6034337465"
Blackjack,https://www.pghcitypaper.com/pittsburgh/blackjack/Event?oid=27539416,"Sat., March 29, 8-11 p.m.",Moondog's,"378 Freeport Road, Blawnox
Blawnox",Rock,Blackjack 412-828-2040
The Right TurnClyde Experience at Constanza's Stone Tavern,https://www.pghcitypaper.com/pittsburgh/the-right-turnclyde-experience-at-constanzas-stone-tavern/Event?oid=27526647,"Sat., March 29, 8 p.m.",Constanza's Stone Tavern,"3518 Herminie West Newton Road, Arona
Greensburg",Cover Band,The Right TurnClyde Experience brings their high energy horn driven danceable rock n roll show to Constanza's Stone Tavern in Arona PA for the very first time 7244469465
,,,,,,
Well Known Strangers,https://www.pghcitypaper.com/pittsburgh/well-known-strangers/Event?oid=27415146,"Sat., March 29, 8-9:30 p.m., Sat., April 26, 8-9:30 p.m., Sat., May 31, 8-9:30 p.m. and Sat., June 28, 8-9:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,Experienced improvisers Well Known Strangers get a suggestion from the audience to inspire laugh-out-loud stories and characters. Don't miss this night of clever and absurd scenes by this fun-loving team of goofs. (412) 339-0608
Knights of the Arcade: Epic D&D Adventure,https://www.pghcitypaper.com/pittsburgh/knights-of-the-arcade-epic-dandd-adventure/Event?oid=27414603,"Sat., March 29, 9-10:30 p.m., Sat., April 26, 9-10:30 p.m., Sat., May 31, 9-10:30 p.m. and Sat., June 28, 9-10:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"A comedy quest awaits! Knights of the Arcade is an award-winning comedy show that takes audiences on a wild, madcap adventure every month. A recurring cast of characters (a dwarf, a monk, a rogue, a sorcerer and a fighter) are joined by special guests and led by their maniacal dungeon master. Where they're going, who they fight, and if they ultimately succeed is decided upon live dice that are rolled and projected on the theater wall. (412) 339-0608"
"""Last Saturday"" - Live Painting & DJ Party",https://www.pghcitypaper.com/pittsburgh/last-saturday-live-painting-and-dj-party/Event?oid=24954786,"Last Saturday of every month, 9 p.m.-2 a.m.",Redfishbowl,"4327 Butler St, Pittsburgh
Lawrenceville",DJs,"""Last Saturday"" - Live Painting & DJ Party! Join The Endonaut Gallery and Redfishbowl Studios for a night of music and art! ***Also, the Closing for the ""Connecting with Nature"" show will be going on during the event!*** LIVE PAINTERS: *Crystal Flora *Nikki Pena *Dante Campudoni MUSIC: *DJ Wabi Sabi *DJ Abnormal HOSTS: @endonautgallery @redfishbowl @diverse_medium 412-443-0606"
Pop Punk Night,https://www.pghcitypaper.com/pittsburgh/pop-punk-night/Event?oid=1951722,"Last Saturday of every month, 10 p.m.-2 a.m.",Smiling Moose,"1306 E. Carson Street, Pittsburgh
South Side",DJs,412-439-5706
"World Literature: Marcia Douglas (UK, Jamaica), “The Jamaica Kollection of the Shante Dream Arkive”",https://www.pghcitypaper.com/pittsburgh/world-literature-marcia-douglas-uk-jamaica-the-jamaica-kollection-of-the-shante-dream-arkive/Event?oid=27512918,"Sun., March 30, 3-4 p.m.",City of Asylum @ Alphabet City,"40 W. North Ave, Pittsburgh
North Side",Literary,"Whiting Award-winner Marcia Douglas is joined by World Literature connoisseur Anderson Tepper to discuss her forthcoming book, The Jamaica Kollection of the Shante Dream Arkive, a startling new dream-like vision of Jamaica to be released April 2025. The Shante Dream Arkive brings alive a mosaic of characters—all searching through history for something or someone lost to the island: a mother searches for her missing child through time and space; an undocumented migrant struggles with loss while living in the US; a youth wanders through dream-gates seeking liberation and the lost parts of himself. 412-435-1110"
Story Club PGH Presents: Story Slam! (Second Chances),https://www.pghcitypaper.com/pittsburgh/story-club-pgh-presents-story-slam-second-chances/Event?oid=27367584,"Tue., April 1, 7-8:30 p.m.",City of Asylum @ Alphabet City,"40 W. North Ave, Pittsburgh
North Side",Other Stuff,"Story Club selects a theme and welcomes volunteer and spotlight storytellers to the stage. No matter the theme, strangers and friends always show up with a story to tell, each new perspective reminding us of all the ways we are connected and all the ways we make this life our own. Each month, the top storyteller, as voted by viewers, will receive a free t-shirt and a $25 gift card to COA Bookstore as a prize. If you are not a storyteller, you still have a chance to participate as part of a judging team. 412-435-1110"
,,,,,,
Story Club PGH Presents: Story Slam! (Second Chances),https://www.pghcitypaper.com/pittsburgh/story-club-pgh-presents-story-slam-second-chances/Event?oid=27439190,"Tue., April 1, 7-8:30 p.m.",City of Asylum @ Alphabet City,"40 W. North Ave, Pittsburgh
North Side",Other Stuff,"Story Club Pittsburgh (created by the former producers of The Moth Pittsburgh) organizes and hosts Story Slam, a monthly nonfiction storytelling series at City of Asylum. A charming mix of open mic nights and live theater, each month Story Club selects a theme and welcomes volunteer and spotlight storytellers to the stage. Each month, the top storyteller, as voted by viewers, will receive a free t-shirt and a $25 gift card to COA Bookstore as a prize. If you are not a storyteller, you still have a chance to participate as part of a judging team. 412-435-1110"
Carnegie Mellon Chamber Series: Schumann & Schubert,https://www.pghcitypaper.com/pittsburgh/carnegie-mellon-chamber-series-schumann-and-schubert/Event?oid=26672607,"Tue., April 1, 7:30-9:30 p.m.","Carnegie Mellon University Kresge Theater, College of Fine Arts","5000 Forbes Ave, Pittsburgh
Oakland",Classical,"Carnegie Mellon Chamber Series: Schumann & Schubert The Carnegie Mellon University Chamber Series brings together members of the CMU Faculty and Pittsburgh Symphony Orchestra for outstanding music making in an intimate space. Program: Schumann Piano Quartet in E-flat major, op. 47 David McCarroll, violin David Harding, viola Angela Park, cello Dimitri Papadimitriou, piano Schubert String Quintet, D.956 David McCarroll, violin Marta Krechkovsky, violin David Harding, viola Anne Martindale Williams, cello Angela Park, cello Cost: Free and open to the public; Tickets required. 412-268-2383"
A Gala of Grand Opera,https://www.pghcitypaper.com/pittsburgh/a-gala-of-grand-opera/Event?oid=26672610,"Wed., April 2, 8-10 p.m.",Carnegie Music Hall,"4400 Forbes Avenue, Pittsburgh
Oakland",Classical,"Carnegie Mellon Philharmonic Daniel Nesta Curtis, conductor Program: Johann Strauss Jr. - Die Fledermaus Giacomo Puccini - Gianni Schicchi Giacomo Puccini - Madame Butterfly Giacomo Puccini - La Rondine Giuseppe Verdi - La Traviata Leo Delibes - Lakmé George Bizet - Carmen Leonard Bernstein - Candide Cost: $10 Regular Admission $5 Senior Citizen (65+) Admission All students, along with CMU/Pitt faculty and staff, are free w/ valid ID Tickets avaliable in 2025 412-268-2383"
Continuing Legal Education: Understanding the Structure of Jewish Legal Texts,https://www.pghcitypaper.com/pittsburgh/continuing-legal-education-understanding-the-structure-of-jewish-legal-texts/Event?oid=27264980,"Thu., April 3, 8:30-10:45 a.m.",,,Lecture,Written Torah. Oral Torah. Mishnah. Midrash. Talmud. Codes. Commentaries. Responsa. We often quote from these Jewish legal sources. But what exactly are they? How do they fit together and how important are they? This CLE will explore the structure of Jewish texts. 412-992-5221
Calliope Presents Alla Boara,https://www.pghcitypaper.com/pittsburgh/calliope-presents-alla-boara/Event?oid=27149838,"Thu., April 3, 7 p.m.",The Roots Cellar,"6300 Fifth Avenue, Pittsburgh Center for the Arts, Pittsburgh
Shadyside",Other Music,"Alla Boara celebrates the deep history of human music-making by cultivating fresh sounds from the ancient roots of regional Italian folk songs. Vocalist Amanda Powell’s captivating delivery is propelled by drummer Anthony Taddeo’s dynamic compositions, “breathing new possibilities into timeless stories while weaving in limitless and unexpected musical flavors” (Becca Stevens, GRAMMY-nominated singer/songwriter). The songs, near extinct in the wild, are presented here with a modern jazz sensibility. The ensemble’s debut recording “Le Tre Sorelle” was praised by Cleveland Magazine for its “top-notch musicianship.”"
Thursday Night Jazz: Mila Shadel Quartet’s Alternative Rock Favorites,https://www.pghcitypaper.com/pittsburgh/thursday-night-jazz-mila-shadel-quartets-alternative-rock-favorites/Event?oid=27512920,"Thu., April 3, 7-8:30 p.m.",City of Asylum @ Alphabet City,"40 W. North Ave, Pittsburgh
North Side",Jazz,"City of Asylum invites the sounds of Nirvana, The Smashing Pumpkins, and Radiohead to the stage, ushered in by lifelong guitarist and imaginative jazz musician Mila Shadel. Mila’s quartet will present original arrangements of some of her favorite hard rock and grunge songs, transforming them through the fluid and playful nature of jazz music. Mila’s performance keeps in the City of Asylum tradition of letting genres and art forms run wild, bringing seemingly separate entities together to create something new. 412-435-1110"
,,,,,,
Jesus Christ Superstar,https://www.pghcitypaper.com/pittsburgh/jesus-christ-superstar/Event?oid=27554011,"Thu., April 3, 7:30-9:30 p.m., Fri., April 4, 7:30-9:30 p.m., Sat., April 5, 7:30-9:30 p.m., Sun., April 6, 1:30-3:30 p.m., Wed., April 9, 1:30-3:30 p.m., Thu., April 10, 7:30-9:30 p.m., Fri., April 11, 7:30-9:30 p.m., Sat., April 12, 1:30-3:30 & 7:30-9:30 p.m. and Sun., April 13, 1:30-3:30 & 6-8 p.m.",Byham Theater,"101 Sixth Street, Pittsburgh
Downtown",Theater,"The legendary rock opera like you've never seen it before! Jesus Christ Superstar is an edgy musical retelling of the final days of Jesus as seen through the eyes of Judas. Reflecting the rock roots that defined a generation and appealing to both theater audiences and concert music fans, the iconic score includes “I Don’t Know How to Love Him”, “Superstar,” and “Heaven on Their Minds.” Lyrics by Tim Rice Music by Andrew Lloyd Webber 4124566666"
Arcade Open Mic Nights,https://www.pghcitypaper.com/pittsburgh/arcade-open-mic-nights/Event?oid=27533564,"Thu., April 3, 10-11:30 p.m., Thu., April 17, 10-11:30 p.m., Thu., May 1, 10-11:30 p.m. and Thu., May 15, 10-11:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,Join us every other Thursday for a comedy open-mic experience! Check out our show calendar for more info on programs like the 'Stand-Up Lab' and 'Got Rights'! (412) 339-0608
As You Like It - Shakespeare Performance,https://www.pghcitypaper.com/pittsburgh/as-you-like-it-shakespeare-performance/Event?oid=27603221,"Fri., April 4, Sat., April 5, Sun., April 6, Thu., April 10, Fri., April 11, Sat., April 12 and Sun., April 13",Charity Randall Theatre,"4301 Forbes Ave., Pittsburgh
Oakland",Theater,"A Musical Adaption of William Shakespeare's AS YOU LIKE IT presented by Pitt Stages at the University of Pittsburgh Forced from their homes, Orlando, Duke Senior, his daughter Rosalind and niece Celia escape to the Forest of Arden, a fantastical place of transformation, where all are welcomed and embraced. Lost amidst the trees, the refugees find community and acceptance under the stars. Assistive communication products are available upon request at all our productions. These include large print programs and assistant listening devices. 412-624-PLAY"
Sweaty Already String Band,https://www.pghcitypaper.com/pittsburgh/sweaty-already-string-band/Event?oid=27540486,"Fri., April 4, 7 p.m.",Allegheny City Brewing Taproom,"510 E Ohio St, Pittsburgh
North Side",Acoustic,"Bluegrass and beer go hand in hand ... especially when it's ACB and the Sweaty Already String Band. In 2025, they'll have a residency at the brewery, bringing full sets of their own music and inviting some touring guests to join the fun. No cover! Allegheny City Brewing Taproom is located at 510 E. Ohio St. in Pittsburgh's Deutschtown neighborhood. Street parking is located in front of the venue and a large city parking lot is available out back. (412) 904-3732"
Freshworks: Zuly Inirio - La Voz que Soy,https://www.pghcitypaper.com/pittsburgh/freshworks-zuly-inirio-la-voz-que-soy/Event?oid=27432620,"Fri., April 4, 7:30-9 p.m. and Sat., April 5, 7:30-9 p.m.",Kelly Strayhorn Theater,"5941 Penn Ave., Pittsburgh
East Liberty",Classical,"La Voz que Soy, or The Voice I Am, is Afro-Latina soprano Zuly Inirio’s reinterpretation of the 1958 French opera La voix humaine. This multidisciplinary performance-in-progress uses the opera’s original framework—revisiting her past love through a final phone call—to explore colonialism, double consciousness, Black womanhood, and the African diaspora’s legacy. By intertwining these issues with the opera’s original themes of loss, assimilation, and the cost of self-preservation, La Voz que Soy highlights Zuly’s journey as a Black Latinx woman. The piece invites audiences into meaningful conversations about identity, resilience, and the shared experiences that connect us across diverse backgrounds. 412-363-3000"
Swemo: Emo Night (Taylor's Version),https://www.pghcitypaper.com/pittsburgh/swemo-emo-night-taylors-version/Event?oid=27527641,"Fri., April 4, 8-10 p.m.",SideQuest on 44th,"146 44TH ST, Pittsburgh
Lawrenceville",Pop,"SideQuest on 44th and CE Presents welcome SWEMO: EMO NIGHT (TAYLOR'S VERSION) on Friday, April 4, 2025! Entry and seating for event attendees begin at 7:00 PM. Tickets are required for entry and are available for purchase exclusively at Eventbrite.com. Any tickets purchased from third-party distributors are not valid for entry. GENERAL ADMISSION tickets do not reserve a seat, although limited seating options are available on a first-come, first-served basis. TABLE ticket packages are available in quantities of TWO (2) and FOUR (4) and guarantee your group a seat for the event. 412-481-7625"
"""SoulShine: An Allman Brothers Experience"" returns to The Lamp Theatre, Irwin!",https://www.pghcitypaper.com/pittsburgh/soulshine-an-allman-brothers-experience-returns-to-the-lamp-theatre-irwin/Event?oid=27508200,"Fri., April 4, 8-9:30 p.m.",The Lamp Theatre,"222 Main Street, Irwin
North Huntingdon",Rock,"Tickets on sale NOW! SoulShine: An Allman Brothers Experience returns to The Lamp Theatre, Irwin, Friday, April 4th! Purchase your tickets at https://www.lamptheatre.org/soulshine SoulShine is a group of seasoned New York musicians who, through their mutual love of the Allman Brothers Band, have united for the sole purpose of bringing you the ultimate Allman Brothers experience. The seminal catalogue of the Allman Brothers singalongs and jams are carefully replicated with all of the important attention to detail: spot on guitar and vocal harmonies, two drummers, a real Hammond B-3 organ with Leslie speaker, mind-bending improvisation and amazing slide guitar playing, 724-367-4000"
17th Annual Race For Grace,https://www.pghcitypaper.com/pittsburgh/17th-annual-race-for-grace/Event?oid=27557732,"Sat., April 5, 7 a.m.-1 p.m.",Norwin High School,"251 McMahon Drive, North Huntingdon
North Huntingdon",Fundraisers,"Be sure to arrive early to partake in pre-race entertainment and warm-up. Breakfast will be available at the concession stand starting at 7:00AM. After the race, there will be an award ceremony, many fun children’s activities, charitable hair donations, dance performances, basket raffle & silent auction, and full concession stand of lunch items available for purchase. (If you are interested in donating your hair, please email RaceForGrace@reflectionsofgrace.org). Visit our merchandise gift store and awareness areas, which will be open throughout the day as well. 4128487201"
Tillman Honor Run,https://www.pghcitypaper.com/pittsburgh/tillman-honor-run/Event?oid=27544086,"Sat., April 5, 9-11 a.m.","Ohio Township Community Park Nature Center,","325 Nicholson Road, Sewickley
Sewickley",Community,"Tillman Honor Runs celebrate and honor the legacy of ASU alum and Army Ranger Pat Tillman. This April, Tillman Honor Runs will be held in 38 cities around the U.S. The 4.2 mile fun runs are open to the public and provide support to the Tillman Scholars program. 4124153584"
Heart-Healthy Living: The Power of Plant-Based Eating,https://www.pghcitypaper.com/pittsburgh/heart-healthy-living-the-power-of-plant-based-eating/Event?oid=27375108,"Sat., April 5, 9:30 a.m.-3 p.m.",Triveni Event Center,"275 Center Road, Monroeville
Monroeville",Meeting,"Plant-Based Pittsburgh is hosting an educational Summit highlighting Heart Health with Plant-Based Eating. The event features catered meals & beverages, expert speakers (featuring Dr. Natalie Gentile and YouTube host Brittany Jaroudi), workshops, cooking demo's, and handouts. Join other curious health-seeking people to learn more about combating the devastating outcomes of Cardio-Vascular disease while enjoying delicious food! $40.00 early bird price until February 28th! Bring a friend! 412-702-0004"
Blessing of the Bicycles (and other wheeled things),https://www.pghcitypaper.com/pittsburgh/blessing-of-the-bicycles-and-other-wheeled-things/Event?oid=27604537,"Sat., April 5, 10 a.m.-12 p.m.",Waverly Presbyterian Church,"590 S. Braddock Ave., Pittsburgh
Regent Square",Sports,Join us as we break out our bicycles and other things with wheels for the coming season. Come any time for an individual blessing or come to the group blessing at 10:45 am and a 5-mile bike ride at 11am. Register for the ride: https://www.haitih2o.org/blessing-of-the-bicycles Free bicycle tune ups also available. 412-242-0643
Wonder Workshops: Game Changers,https://www.pghcitypaper.com/pittsburgh/wonder-workshops-game-changers/Event?oid=27538010,"Sat., April 5, 10:15 a.m.-12 p.m.",Carnegie Science Center,"1 Allegheny Avenue, Pittsburgh
North Side",Kidstuff,"Learn about board game design and the players’ place in it! From the rules to the design of the board itself, families will get to experience creating their own game that they can enjoy again and again even after the workshop is over. They will learn how math and patterns can affect a game and the players in it, as well as how to include their artistic side into the rules of the game! 4122373400"
Spring Local Author Fair,https://www.pghcitypaper.com/pittsburgh/spring-local-author-fair/Event?oid=27581993,"Sat., April 5, 12-4 p.m.",South Fayette Municipal Center,"100 Township Drive, Bridgeville
Bridgeville",Literary,"Join Us for the Spring Local Author Fair! April 5 from 12-4. Are you ready to dive into a world of stories and creativity? The Spring Local Author Fair is here to spark your imagination! Meet 15 talented authors from various genres—romance, mystery, fantasy, self-help, and more. Discover new books, get your copies signed, and enjoy a day of literary delights. If you can't find the address, please try 323 Hickory Grade Road. Sponsored by Aurora Corialis Publishing. In partnership with the South Fayette Community Library. Additional sponsorship by Ironed Words Productions. 412-221-8700"
Marc Reisman and Peter King,https://www.pghcitypaper.com/pittsburgh/marc-reisman-and-peter-king/Event?oid=27558723,"Sat., April 5, 12-3 p.m.",Leaf & Bean,"2200 Penn Avenue, Pittsburgh
Strip District",Acoustic,"Ex-original Houserocker Reisman is a first-call harmonica player and a leader in his own right on his ""Strong Way"" CD. Peter King has earned attention for his finger-style guitar with the Steve Hackman/Mendelssohn Choir Bob Dylan project and for CDs including ""The Road to Ubatuba."" 412-434-1480"
Urban Ecology: Westinghouse Park,https://www.pghcitypaper.com/pittsburgh/urban-ecology-westinghouse-park/Event?oid=27543613,"Sat., April 5, 12:30-2 p.m.",Westinghouse Park,"7051 Thomas Blvd., Pittsburgh
Point Breeze",Community,"Join Naturalists from the Pittsburgh Parks Conservancy to explore Westinghouse Park and learn about the flora, fauna, and funga who thrive in our urban landscape and how the land has changed over time."
Family Nature Hike,https://www.pghcitypaper.com/pittsburgh/family-nature-hike/Event?oid=27385877,"Sat., April 5, 2-3 p.m.",Powdermill Nature Reserve,"1795 Route 381, Rector
Downtown",Sports,"Join us as we hit the trails for a guided nature walk! We’ll meet in the atrium of the Powdermill Nature Center at 2 pm before heading outside to explore. This family-friendly experience is open to participants of all ages. Events fill up fast! Registration is recommended to guarantee your spot and help us plan timing, seating, and/or trail routes. If there are spots available at the time of the program, non-registered individuals can join on a first-come, first-served basis. Powdermill Nature Reserve is located at 1795 Route 381, Rector, PA 15677. 4126223131"
Earth Month in Westinghouse Park,https://www.pghcitypaper.com/pittsburgh/earth-month-in-westinghouse-park/Event?oid=27543600,"Sat., April 5, 2-5 p.m.",Westinghouse Park,"7051 Thomas Blvd., Pittsburgh
Point Breeze",Community,"Come celebrate Mother Earth and our beloved green spaces at two exciting community events! Join the Pittsburgh Parks Conservancy and local partners for a day of springtime fun, featuring live DJ sets, nature-inspired crafts, lawn games, face painting, and more. Bring the whole family and enjoy activities for all ages! Visit PittsburghParks.org/EarthMonth for more details."
21+ Night: Pi Day Party,https://www.pghcitypaper.com/pittsburgh/21-night-pi-day-party/Event?oid=27538088,"Sat., April 5, 6-10 p.m.",Carnegie Science Center,"1 Allegheny Avenue, Pittsburgh
North Side",Other Stuff,There are infinite reasons for you to come to the Science Center and our Pi Day 21+ Night is one of them! Celebrate all things pi(e) as well as Albert Einstein’s birthday with us. Drink up with our themed cocktails while listening to some live music. Learn about pi and Albert Einstein with our fun science demos! Compete in a pi(e) eating contest in the name of science! Explore all the Science Center’s exhibits after hours. Watch a pizza acrobat do tricks with pizza dough! Test your knowledge of science and play a round of pub trivia! 4122373400
,,,,,,
Irony City: Am I the Jagoff?,https://www.pghcitypaper.com/pittsburgh/irony-city-am-i-the-jagoff/Event?oid=27414630,"First Saturday of every month, 7-8:30 p.m. Continues through May 3",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"A comedy quest awaits! Knights of the Arcade is an award-winning comedy show that takes audiences on a wild, madcap adventure every month. A recurring cast of characters (a dwarf, a monk, a rogue, a sorcerer and a fighter) are joined by special guests and led by their maniacal dungeon master. Where they're going, who they fight, and if they ultimately succeed is decided upon live dice that are rolled and projected on the theater wall. (412) 339-0608"
Am I the Jagoff? A Comedy Show from Irony City Improv,https://www.pghcitypaper.com/pittsburgh/am-i-the-jagoff-a-comedy-show-from-irony-city-improv/Event?oid=27408520,"First Saturday of every month, 8-9:30 p.m. Continues through Dec. 31",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Join veteran comedy troupe Irony City as they deftly navigate social missteps on the first Saturday each month. We’ve all been there: acted out at a wedding when there was no cookie table, ordered fries on a salad at a fancy restaurant, or dared to move a parking chair – afterwards wondering, “Am I the Jagoff?” Each show, the audience shares stories about some real Jagoff moments, sparking hilarious improvised scenes from Irony City. (412) 339-0608"
EagleMania: The World's Greatest Eagles Band returns for TWO DATES!,https://www.pghcitypaper.com/pittsburgh/eaglemania-the-worlds-greatest-eagles-band-returns-for-two-dates/Event?oid=27508202,"Sat., April 5, 8-9:30 p.m. and Sun., April 6, 6-7:30 p.m.",The Lamp Theatre,"222 Main Street, Irwin
North Huntingdon",Rock,"ON SALE NOW! EagleMania - The World’s Greatest Eagles Tribute Band returns to The Lamp Theatre, Irwin, for TWO show! Purchase tickets NOW at: https://www.lamptheatre.org/eaglemania EagleMania - The World’s Greatest Eagles Tribute Band. That isn’t their slogan by mistake! EagleMania has dedicated themselves to faithfully reproducing the music of The Eagles. Since their inception, EagleMania has been thrilling audiences all over the country with their stunning five part harmony and their uncanny ability to emulate the unmistakable sound of The Eagles. Their show consists of the Eagles’ greatest hits, as well as some of the solo work of Don Henley, 724-367-4000"
Admit One: A Storytelling Experience,https://www.pghcitypaper.com/pittsburgh/admit-one-a-storytelling-experience/Event?oid=27415076,"Sat., April 5, 9-10:30 p.m., Sat., May 3, 9-10:30 p.m., Sat., June 7, 9-10:30 p.m., Sat., July 5, 9-10:30 p.m., Sat., Aug. 2, 9-10:30 p.m., Sat., Sept. 6, 9-10:30 p.m., Sat., Oct. 4, 9-10:30 p.m., Sat., Nov. 1, 9-10:30 p.m. and Sat., Dec. 6, 9-10:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Stand-up comedy is all about finding the funny in everyday life. Usually, it doesn't matter if what you're saying is true as long as it's hilarious. 'Admit One' gives you, the audience, the chance to call comedians out! You'll hear four riotous tales, and it'll be your job to figure out if the comic is spitting truth or spreading lies! (412) 339-0608"
Noche Latina-First Saturday,https://www.pghcitypaper.com/pittsburgh/noche-latina-first-saturday/Event?oid=24418414,"First Saturday of every month, 12:15 p.m.-1:30 a.m.",Los Sabrosos Dance Co.,"4909 Penn Ave., Pittsburgh
Bloomfield",Dance,"Dance the night away to Salsa, Bachata, Zouk, Kizomba, & more! Every First and Third Saturday of the Month! 9:15pm – Mini-Lesson 9:30pm – 1:00am DANCING! Mini-Lesson + Social: $15 Only Social: $10 4909 Penn Ave Pittsburgh, PA 15224 At the juncture of Lawrenceville, Garfield, & Friendship neighborhoods! On the same side as UPMC Children’s Hospital. Free parking on the street (Penn Ave) and all the neighborhood streets. BYOA, alcohol only. Los Sabrosos Dance Co. has a cash bar with non-alcoholic beverages on the premises. Free water and cups available. 4124650290"
Illusions,https://www.pghcitypaper.com/pittsburgh/illusions/Event?oid=1469538,"First Saturday of every month, 9 p.m.",Cattivo,"146 44th St., Pittsburgh
Lawrenceville",DJs,w/ Funerals & Arvin Clay. 412-687-2157
,,,,,,
TITLE TOWN Soul & Funk Party,https://www.pghcitypaper.com/pittsburgh/title-town-soul-and-funk-party/Event?oid=1965556,"First Saturday of every month, 9 p.m.",Spirit Hall & Lodge,"242 51st St., Pittsburgh
Lawrenceville",DJs,"Rare Soul, Funk & wild R&B 45s feat. DJ Gordy G. & J.Malls 412-586-4441"
FAT CAT ON WAX,https://www.pghcitypaper.com/pittsburgh/fat-cat-on-wax/Event?oid=25361925,"First Saturday of every month, 9 p.m.-1 a.m.","Fat Cat Eats, Drinks & Music","520 E Ohio St, Pittsburgh
North Side",DJs,"The 4th monthly installment of all vinyl-house music mixes from Dave Clevr & Friends. This month Clevr will be tag teaming with the one & only Tom Brown to take you on a journey through their combined decades of experience in the sound of true of house music. Exploring the sounds of funk, soul & beyond. Tell your friends & mark your calendars for the 1st Saturday each month. Another one you do not want to miss! 4123210220"
Requiem,https://www.pghcitypaper.com/pittsburgh/requiem/Event?oid=5758695,"First Saturday of every month, 10 p.m.-2 a.m.",Cattivo,"146 44th St., Pittsburgh
Lawrenceville",Other Music,412-687-2157
Spring Craft Show,https://www.pghcitypaper.com/pittsburgh/spring-craft-show/Event?oid=27458385,"Sun., April 6, 11 a.m.-3 p.m.",Bridgeville VFD,"370 Commercial St., Bridgeville
Bridgeville",Marketplace,"Mark your calendars for the Bridgeville Volunteer Fire Department Spring Craft Show on April 6th—a day filled with creativity, community, and fun! With 70 talented crafters, you’ll find a variety of unique, handmade treasures to shop from. Delicious food trucks will be on-site, serving up tasty bites, and you’ll have the chance to win exciting prizes through our basket raffles and 50/50 drawing. This is a wonderful opportunity to support local artisans while enjoying a fantastic day with friends and family. 412-221-1711"
Traditional Bluegrass Jam,https://www.pghcitypaper.com/pittsburgh/traditional-bluegrass-jam/Event?oid=27558322,"Sun., April 6, 1-3 p.m. and Sun., May 4, 1-3 p.m.",Cinderlands Warehouse,"2601 Smallman St., Pittsburgh
Strip District",Acoustic,"Come pick, come eat, come drink, come listen! This is a traditional bluegrass jam circle and all levels of stringed instrument players are welcome to join! Regardless of how long you've played, we encourage you to pick. You can always pass on solos and you never have to call a tune ... we're a judgement-free group of players! If you're not a musician, you're welcome, too! Not sure what to expect? Check out this post explaining what it's like to attend a jam as a spectator: https://bit.ly/3DF9qLu. Jam starts at 1pm. No cover."
